"employee_id","full_name","job_title","department","business_unit","gender","ethnicity","age","hire_date","annual_salary","bonus_percent","country","city","exit_date"
"E02040","Jeremiah Cheng","Sr. Analyst","Marketing","Specialty Products","Male","Asian",26,"2022-02-05",70946,0,"China","Shanghai",NULL
"E02041","Chloe Chin","Sr. Manager","Finance","Specialty Products","Female","Asian",62,"2021-11-13",134487,10,"United States","Seattle",NULL
"E02042","Ella Martinez","Sr. Analyst","Finance","Research & Development","Female","Latino",35,"2012-04-06",76111,0,"United States","Chicago",NULL
"E02043","Gianna Jones","Manager","Accounting","Research & Development","Female","Caucasian",48,"1998-09-26",119220,9,"United States","Columbus","2016-11-02"
"E02044","Austin Chow","Vice President","Accounting","Manufacturing","Male","Asian",35,"2021-04-11",180858,32,"China","Chongqing",NULL
"E02045","Ella Chen","Manager","Accounting","Specialty Products","Female","Asian",45,"2005-11-10",114072,8,"United States","Phoenix",NULL
"E02046","Ruby Kaur","Test Engineer","Engineering","Research & Development","Female","Asian",26,"2021-06-26",91672,0,"China","Beijing",NULL
"E02047","Savannah Morales","Analyst Ii","Marketing","Corporate","Female","Latino",48,"2005-01-26",71542,0,"United States","Chicago",NULL
"E02048","Luca Powell","It Coordinator","It","Specialty Products","Male","Caucasian",33,"2016-12-18",54700,0,"United States","Miami",NULL
"E02049","Parker Thao","Analyst Ii","Sales","Corporate","Male","Asian",55,"2011-05-08",65022,0,"China","Chongqing",NULL
"E02050","Ryan Vo","Cloud Infrastructure Architect","It","Research & Development","Male","Asian",38,"2011-04-12",65109,0,"United States","Phoenix",NULL
"E02051","Isabella Ngo","Manager","Accounting","Specialty Products","Female","Asian",49,"2022-01-01",126598,9,"United States","Miami",NULL
"E02052","Leah Vega","Cloud Infrastructure Architect","It","Corporate","Female","Latino",52,"2018-06-07",72388,0,"United States","Miami",NULL
"E02053","Jaxson Liu","Vice President","Finance","Corporate","Male","Asian",27,"2021-05-18",92368,36,"United States","Chicago",NULL
"E02054","Santiago F Ross","Enterprise Architect","It","Specialty Products","Male","Caucasian",34,"2012-12-13",74004,0,"United States","Columbus",NULL
"E02055","Layla Bell","Vice President","Engineering","Corporate","Female","Caucasian",65,"2001-07-26",92368,31,"United States","Chicago",NULL
"E02056","Bella Morales","Director","Sales","Specialty Products","Female","Latino",38,"2016-05-10",194864,24,"United States","Austin",NULL
"E02057","Eliza Kang","Computer Systems Manager","It","Manufacturing","Female","Asian",63,"2002-01-27",76659,5,"United States","Phoenix",NULL
"E02058","Gabriel Reyes","Manager","Sales","Corporate","Male","Latino",42,"2005-06-10",101630,8,"Brazil","Sao Paulo",NULL
"E02059","Piper Garcia","Sr. Manager","Sales","Research & Development","Female","Latino",60,"1993-11-24",126929,12,"Brazil","Sao Paulo",NULL
"E02060","Jacob Cheng","Director","Sales","Manufacturing","Male","Asian",47,"1999-11-26",155890,17,"United States","Columbus","2003-11-27"
"E02061","Nathan Hong","Director","Finance","Corporate","Male","Asian",50,"2019-10-02",150631,17,"United States","Phoenix",NULL
"E02062","Chloe Kim","Sr. Analyst","Sales","Specialty Products","Female","Asian",39,"2012-07-06",72850,0,"United States","Miami",NULL
"E02063","Isaac Guzman","Account Representative","Sales","Corporate","Male","Latino",46,"2010-08-18",57951,0,"United States","Phoenix",NULL
"E02064","Julian Ford","Analyst Ii","Sales","Manufacturing","Male","Caucasian",50,"2010-07-29",70340,0,"United States","Miami",NULL
"E02065","Kinsley Liang","Automation Engineer","Engineering","Manufacturing","Female","Asian",55,"2008-08-25",98221,0,"China","Shanghai",NULL
"E02066","Wesley Yu","Sr. Manager","Sales","Specialty Products","Male","Asian",43,"2003-09-24",127175,12,"United States","Seattle",NULL
"E02067","Serenity Martin","Sr. Analyst","Finance","Manufacturing","Female","Black",26,"2021-05-16",97542,0,"United States","Phoenix",NULL
"E02068","Ethan Sanchez","Sr. Analyst","Marketing","Research & Development","Male","Latino",34,"2019-05-15",81646,0,"United States","Phoenix",NULL
"E02069","David Sanchez","Director","Sales","Specialty Products","Male","Latino",38,"2009-07-05",182055,27,"Brazil","Rio De Janeiro",NULL
"E02070","Elias Hsu","Sr. Analyst","Marketing","Specialty Products","Male","Asian",35,"2022-01-23",86777,0,"China","Chengdu",NULL
"E02071","Luca Phan","Manager","Marketing","Corporate","Male","Asian",39,"2015-06-17",129949,9,"China","Beijing",NULL
"E02072","Olivia Xi","Manager","Sales","Specialty Products","Female","Asian",26,"2020-08-19",124535,6,"United States","Chicago",NULL
"E02073","Alice Luu","System Administrator ","It","Research & Development","Female","Asian",60,"1993-07-17",81083,0,"United States","Columbus",NULL
"E02074","Leonardo Ng","Analyst","Marketing","Corporate","Male","Asian",32,"2019-06-10",57727,0,"China","Chengdu",NULL
"E02075","Peyton Edwards","Analyst Ii","Finance","Manufacturing","Female","Caucasian",65,"2020-07-11",59344,0,"United States","Columbus",NULL
"E02076","Axel Patel","Sr. Analyst","Sales","Research & Development","Male","Asian",27,"2022-09-13",73203,0,"United States","Miami",NULL
"E02077","Eva Chavez","It Systems Architect","It","Specialty Products","Female","Latino",63,"2004-01-17",83070,0,"Brazil","Sao Paulo",NULL
"E02078","Savannah Lee","Manager","Human Resources","Research & Development","Female","Asian",51,"2020-07-22",104008,10,"China","Beijing",NULL
"E02079","Mia Grant","Solutions Architect","It","Corporate","Female","Caucasian",43,"2007-02-16",70923,0,"United States","Columbus",NULL
"E02080","Eli Richardson","Sr. Manager","Marketing","Specialty Products","Male","Black",31,"2018-04-08",159121,14,"United States","Phoenix",NULL
"E02081","Eloise Perry","Sr. Business Partner","Human Resources","Research & Development","Female","Caucasian",26,"2020-12-02",88921,0,"United States","Chicago",NULL
"E02082","Ian Cheng","Sr. Manager","Sales","Specialty Products","Male","Asian",46,"2015-08-30",126704,14,"United States","Phoenix",NULL
"E02083","Penelope Chan","Analyst Ii","Accounting","Manufacturing","Female","Asian",59,"2012-05-20",57704,0,"China","Shanghai","2019-11-21"
"E02084","Sofia Vasquez","Director","Sales","Research & Development","Female","Latino",52,"1996-07-29",191455,24,"Brazil","Sao Paulo",NULL
"E02085","Anthony Baker","Solutions Architect","It","Manufacturing","Male","Caucasian",31,"2021-06-03",99937,0,"United States","Phoenix",NULL
"E02086","Lucas Luong","Analyst","Marketing","Specialty Products","Male","Asian",42,"2008-03-12",40778,0,"China","Chengdu",NULL
"E02087","Xavier Patel","Director","Marketing","Specialty Products","Male","Asian",53,"2021-11-16",187740,16,"United States","Columbus",NULL
"E02088","Robert Soto","Hris Analyst","Human Resources","Research & Development","Male","Latino",47,"2008-09-10",72384,0,"Brazil","Rio De Janeiro",NULL
"E02089","Nevaeh Jiang","Sr. Manager","Marketing","Corporate","Female","Asian",45,"2016-08-05",143318,12,"China","Chengdu",NULL
"E02090","Chloe Reyes","Director","Human Resources","Specialty Products","Female","Latino",45,"2008-06-18",191304,17,"United States","Phoenix",NULL
"E02091","Lucy Edwards","Director","Human Resources","Specialty Products","Female","Black",33,"2015-03-16",175875,21,"United States","Columbus","2022-05-16"
"E02092","Luna Edwards","Manager","Sales","Research & Development","Female","Black",42,"2014-04-13",106726,9,"United States","Seattle",NULL
"E02093","Stella Daniels","Cloud Infrastructure Architect","It","Manufacturing","Female","Black",37,"2011-10-30",72637,0,"United States","Columbus",NULL
"E02094","Ayla Ma","Manager","Marketing","Corporate","Female","Asian",27,"2022-12-05",118304,7,"China","Shanghai",NULL
"E02095","Matthew Avila","Computer Systems Manager","It","Manufacturing","Male","Latino",55,"2003-06-17",68592,8,"Brazil","Sao Paulo",NULL
"E02096","Gianna Lim","Analyst","Accounting","Research & Development","Female","Asian",46,"2006-04-01",42532,0,"China","Chongqing",NULL
"E02097","Joseph Tan","Technical Architect","It","Research & Development","Male","Asian",37,"2015-08-20",65073,0,"China","Shanghai",NULL
"E02098","Connor Lai","Engineering Manager","Engineering","Corporate","Male","Asian",32,"2019-09-22",111035,12,"United States","Chicago",NULL
"E02099","Ava Owens","Analyst Ii","Finance","Specialty Products","Female","Caucasian",28,"2020-02-07",63066,0,"United States","Seattle",NULL
"E02100","Dylan Aguilar","Director","Engineering","Corporate","Male","Latino",49,"2007-03-27",186192,27,"Brazil","Sao Paulo",NULL
"E02101","Leah Zheng","Director","Engineering","Corporate","Female","Asian",52,"2016-06-18",182938,23,"China","Chengdu",NULL
"E02102","Jade Pham","Analyst","Accounting","Manufacturing","Female","Asian",61,"2017-12-12",53931,0,"China","Shanghai",NULL
"E02103","Theodore Bui","Vice President","Sales","Specialty Products","Male","Asian",53,"2012-05-13",92368,38,"China","Beijing",NULL
"E02104","Asher Chan","Sr. Business Partner","Human Resources","Corporate","Male","Asian",40,"2018-08-18",73041,0,"China","Shanghai",NULL
"E02105","Ezekiel Brown","Manager","Finance","Corporate","Male","Caucasian",27,"2022-03-14",120315,8,"United States","Miami","2022-07-17"
"E02106","Peyton Allen","Manager","Marketing","Specialty Products","Female","Caucasian",26,"2020-11-23",112264,5,"United States","Chicago",NULL
"E02107","Parker Joseph","Systems Analyst","It","Specialty Products","Male","Caucasian",53,"2000-01-21",55039,0,"United States","Seattle",NULL
"E02108","Kayden Ortiz","Sr. Manager","Accounting","Specialty Products","Male","Latino",33,"2013-07-29",134782,15,"Brazil","Manaus",NULL
"E02109","Lillian Desai","Field Engineer","Engineering","Manufacturing","Female","Asian",27,"2022-12-12",92806,0,"China","Chengdu",NULL
"E02110","Avery Gutierrez","Vice President","Marketing","Corporate","Female","Latino",56,"2016-07-02",181028,38,"United States","Phoenix",NULL
"E02111","Caroline Sandoval","Analyst","Sales","Corporate","Female","Latino",36,"2013-10-03",48117,0,"Brazil","Sao Paulo",NULL
"E02112","Hailey Lim","Director","Marketing","Corporate","Female","Asian",47,"2005-01-06",192753,17,"China","Chongqing",NULL
"E02113","Roman Liang","Sr. Analyst","Sales","Manufacturing","Male","Asian",28,"2021-03-04",85206,0,"China","Chongqing","2022-07-08"
"E02114","Elias Rojas","Account Representative","Sales","Manufacturing","Male","Latino",30,"2018-01-07",58290,0,"United States","Chicago",NULL
"E02115","Quinn Lai","Systems Analyst","It","Research & Development","Female","Asian",58,"2003-08-28",41946,0,"United States","Phoenix",NULL
"E02116","Clara Le","Service Desk Analyst","It","Corporate","Female","Asian",56,"2021-03-15",79388,0,"China","Beijing",NULL
"E02117","Chloe Yoon","Network Administrator","It","Corporate","Female","Asian",65,"2002-02-25",83854,0,"United States","Seattle",NULL
"E02118","Abigail Simmons","Sr. Manager","It","Specialty Products","Female","Caucasian",29,"2018-04-24",126550,15,"United States","Miami",NULL
"E02119","Ayla Espinoza","Director","Human Resources","Research & Development","Female","Latino",60,"1993-10-01",199705,26,"Brazil","Rio De Janeiro",NULL
"E02120","Nova Lin","Vice President","Sales","Specialty Products","Female","Asian",31,"2019-04-09",92368,32,"United States","Austin",NULL
"E02121","Sadie Singh","Director","Engineering","Specialty Products","Female","Asian",45,"2022-03-16",182717,26,"United States","Columbus",NULL
"E02122","Aaron Powell","Enterprise Architect","It","Research & Development","Male","Black",30,"2017-09-11",79975,0,"United States","Chicago",NULL
"E02123","Jameson Vargas","Director","Human Resources","Specialty Products","Male","Latino",36,"2011-07-24",196554,20,"Brazil","Rio De Janeiro",NULL
"E02124","Logan Young","Vice President","It","Corporate","Male","Black",39,"2010-08-16",92368,33,"United States","Seattle",NULL
"E02125","Wyatt Cheung","Analyst Ii","Sales","Specialty Products","Male","Asian",44,"2013-07-25",53703,0,"China","Beijing",NULL
"E02126","Lucas Zhu","Manager","It","Manufacturing","Male","Asian",53,"2011-03-14",123480,8,"China","Beijing",NULL
"E02127","Emily Hong","It Coordinator","It","Specialty Products","Female","Asian",46,"2021-01-09",41197,0,"China","Beijing",NULL
"E02128","Luke Ramos","Account Representative","Sales","Corporate","Male","Latino",30,"2018-07-28",72463,0,"Brazil","Manaus",NULL
"E02129","Maya Gupta","Field Engineer","Engineering","Corporate","Female","Asian",28,"2019-08-04",87675,0,"China","Beijing",NULL
"E02130","Eliana Ha","Analyst","Accounting","Specialty Products","Female","Asian",35,"2020-12-15",55833,0,"China","Chengdu",NULL
"E02131","Lillian Cheng","Analyst Ii","Finance","Research & Development","Female","Asian",58,"1996-08-20",58208,0,"China","Chengdu",NULL
"E02132","Alexander Pena","Sr. Analyst","Sales","Specialty Products","Male","Latino",47,"2002-05-24",75633,0,"United States","Chicago",NULL
"E02133","Leonardo Mai","Sr. Analyst","Marketing","Specialty Products","Male","Asian",43,"2007-01-28",79090,0,"China","Chengdu",NULL
"E02134","Jack Phillips","Analyst Ii","Finance","Manufacturing","Male","Black",47,"2015-07-27",66138,0,"United States","Phoenix",NULL
"E02135","Scarlett Delgado","Cloud Infrastructure Architect","It","Research & Development","Female","Latino",57,"2013-08-28",80728,0,"Brazil","Rio De Janeiro",NULL
"E02136","Jack Rogers","Systems Analyst","It","Corporate","Male","Black",47,"2005-02-01",46202,0,"United States","Phoenix",NULL
"E02137","Violet Huynh","Manager","Sales","Research & Development","Female","Asian",50,"2008-02-29",123096,10,"China","Shanghai",NULL
"E02138","Victoria Park","Analyst","Marketing","Research & Development","Female","Asian",27,"2020-03-18",45989,0,"United States","Chicago",NULL
"E02139","Elizabeth Rodriguez","Sr. Manager","Accounting","Corporate","Female","Latino",26,"2021-08-13",140756,13,"Brazil","Sao Paulo",NULL
"E02140","Samuel Kumar","Network Engineer","It","Corporate","Male","Asian",43,"2009-03-09",85261,0,"China","Chengdu",NULL
"E02141","Zoe Maldonado","Vice President","Accounting","Corporate","Female","Latino",49,"1998-09-25",198222,34,"Brazil","Sao Paulo",NULL
"E02142","Natalia Richardson","Sr. Manager","Sales","Research & Development","Female","Caucasian",36,"2017-06-02",150825,10,"United States","Columbus",NULL
"E02143","Madeline Contreras","Analyst","Accounting","Corporate","Female","Latino",51,"1995-10-31",59311,0,"Brazil","Sao Paulo",NULL
"E02144","Raelynn Espinoza","Analyst","Accounting","Corporate","Female","Latino",46,"2002-09-12",44411,0,"Brazil","Manaus",NULL
"E02145","Noah Rojas","Analyst Ii","Finance","Manufacturing","Male","Latino",37,"2019-11-14",69408,0,"United States","Chicago",NULL
"E02146","Jack Ramos","Sr. Analyst","Finance","Manufacturing","Male","Latino",43,"2018-06-17",96759,0,"Brazil","Manaus",NULL
"E02147","Riley King","Director","Marketing","Specialty Products","Female","Black",53,"2013-08-10",163480,15,"United States","Columbus",NULL
"E02148","Naomi Lee","System Administrator ","It","Research & Development","Female","Asian",58,"2014-04-15",91132,0,"China","Beijing",NULL
"E02149","Caleb Jones","Manager","Marketing","Corporate","Male","Caucasian",57,"1996-07-10",122825,8,"United States","Miami",NULL
"E02150","Peyton Alvarado","Service Desk Analyst","It","Manufacturing","Female","Latino",31,"2015-10-24",73612,0,"Brazil","Rio De Janeiro",NULL
"E02151","Luca Liu","Account Representative","Sales","Manufacturing","Male","Asian",40,"2007-06-22",70561,0,"China","Chongqing",NULL
"E02152","Christian Johnson","Network Architect","It","Research & Development","Male","Black",47,"2008-05-25",60331,0,"United States","Miami",NULL
"E02153","Kinsley Gonzales","Systems Analyst","It","Manufacturing","Female","Latino",51,"2007-05-05",48772,0,"Brazil","Rio De Janeiro",NULL
"E02154","Hunter Yoon","Network Administrator","It","Research & Development","Male","Asian",57,"2020-10-02",90599,0,"China","Chongqing",NULL
"E02155","Elias Dixon","It Coordinator","It","Corporate","Male","Caucasian",46,"2021-11-22",55643,0,"United States","Columbus",NULL
"E02156","Owen Guerrero","Field Engineer","Engineering","Corporate","Male","Latino",40,"2022-09-03",97938,0,"United States","Chicago",NULL
"E02157","Lucas Lo","Analyst","Accounting","Research & Development","Male","Asian",43,"2004-01-18",49627,0,"China","Beijing",NULL
"E02158","Hunter Mitchell","It Coordinator","It","Research & Development","Male","Caucasian",54,"2021-04-17",58137,0,"United States","Columbus",NULL
"E02159","Eliana Bailey","Sr. Manager","Sales","Research & Development","Female","Black",27,"2021-01-02",120586,15,"United States","Seattle",NULL
"E02160","Gabriella Choi","Analyst Ii","Accounting","Manufacturing","Female","Asian",56,"1999-08-15",72925,0,"United States","Seattle",NULL
"E02161","Evelyn Alvarado","Network Administrator","It","Specialty Products","Female","Latino",36,"2022-08-12",83548,0,"United States","Miami",NULL
"E02162","Wyatt Chan","Manager","Finance","Manufacturing","Male","Asian",53,"2005-06-28",128226,8,"China","Shanghai",NULL
"E02163","Sarah Johnson","Director","Engineering","Research & Development","Female","Caucasian",31,"2018-03-06",150653,24,"United States","Austin","2019-09-01"
"E02164","Brooks Evans","Sr. Account Representative","Sales","Specialty Products","Male","Caucasian",45,"2016-05-04",80989,0,"United States","Columbus",NULL
"E02165","Isaiah Dixon","Development Engineer","Engineering","Corporate","Male","Caucasian",29,"2022-02-27",74901,0,"United States","Austin",NULL
"E02166","Addison Lo","Cloud Infrastructure Architect","It","Research & Development","Female","Asian",27,"2020-08-28",68712,0,"United States","Columbus",NULL
"E02167","Nolan Howard","Quality Engineer","Engineering","Research & Development","Male","Caucasian",26,"2022-04-18",82963,0,"United States","Austin","2022-06-23"
"E02168","Paisley Dominguez","Engineering Manager","Engineering","Research & Development","Female","Latino",53,"2009-06-14",123203,10,"United States","Austin",NULL
"E02169","Eliana Ho","Director","Accounting","Corporate","Female","Asian",64,"2012-09-05",195416,22,"China","Chengdu",NULL
"E02170","Charles Miller","Director","Marketing","Manufacturing","Male","Black",32,"2018-06-07",156418,23,"United States","Columbus",NULL
"E02171","Mia Jiang","Vice President","Accounting","Manufacturing","Female","Asian",42,"2015-06-19",92368,38,"United States","Miami",NULL
"E02172","Skylar Parker","Technical Architect","It","Corporate","Female","Caucasian",31,"2018-08-05",96195,0,"United States","Phoenix",NULL
"E02173","Zoey Leung","Network Administrator","It","Research & Development","Female","Asian",40,"2007-09-27",77637,0,"China","Chongqing","2017-02-04"
"E02174","Austin Moua","Test Engineer","Engineering","Research & Development","Male","Asian",46,"2003-05-27",79294,0,"China","Chengdu",NULL
"E02175","Christopher Robinson","Vice President","Finance","Specialty Products","Male","Caucasian",35,"2016-07-11",92368,31,"United States","Austin","2022-10-17"
"E02176","Jayden Zhang","Enterprise Architect","It","Specialty Products","Male","Asian",64,"1994-06-27",70516,0,"China","Chengdu",NULL
"E02177","Cora Mejia","Sr. Analyst","Accounting","Research & Development","Female","Latino",58,"2014-06-07",98296,0,"Brazil","Manaus",NULL
"E02178","Julian Harris","Operations Engineer","Engineering","Manufacturing","Male","Caucasian",61,"2015-12-30",98565,0,"United States","Phoenix",NULL
"E02179","Anthony Espinoza","Analyst Ii","Finance","Manufacturing","Male","Latino",41,"2020-11-16",59149,0,"Brazil","Rio De Janeiro",NULL
"E02180","Aubrey Ruiz","Analyst Ii","Marketing","Specialty Products","Female","Latino",25,"2021-01-11",70126,0,"Brazil","Sao Paulo",NULL
"E02181","Piper Tang","Vice President","Human Resources","Manufacturing","Female","Asian",50,"2011-07-28",92368,33,"China","Beijing",NULL
"E02182","Colton Delgado","Sr. Manager","Accounting","Research & Development","Male","Latino",61,"2006-10-22",156512,13,"Brazil","Rio De Janeiro",NULL
"E02183","Madeline Chung","Analyst","Finance","Research & Development","Female","Asian",63,"2011-05-26",44444,0,"United States","Miami","2015-07-12"
"E02184","Ariana Sharma","Vice President","Sales","Research & Development","Female","Asian",45,"2014-01-24",92368,34,"United States","Seattle","2022-06-29"
"E02185","Julian Marquez","Sr. Manager","Accounting","Specialty Products","Male","Latino",33,"2013-09-14",122408,11,"Brazil","Rio De Janeiro",NULL
"E02186","Logan Reyes","Quality Engineer","Engineering","Corporate","Male","Latino",62,"1995-04-10",78251,0,"Brazil","Sao Paulo","2020-03-19"
"E02187","Penelope Mai","Vice President","Sales","Corporate","Female","Asian",43,"2004-05-02",92368,35,"United States","Austin",NULL
"E02188","Ryan Reed","Sr. Analyst","Sales","Manufacturing","Male","Black",48,"2019-10-28",90296,0,"United States","Austin",NULL
"E02189","Grayson Hwang","Sr. Analyst","Finance","Corporate","Male","Asian",42,"2013-04-23",91689,0,"China","Chongqing",NULL
"E02190","Ezra Tan","Sr. Manager","Finance","Corporate","Male","Asian",49,"1999-12-22",158028,12,"China","Chengdu",NULL
"E02191","David Ha","Sr. Account Representative","Sales","Corporate","Male","Asian",33,"2022-07-27",89759,0,"China","Chongqing",NULL
"E02192","Lillian Vang","Technical Architect","It","Research & Development","Female","Asian",39,"2015-09-13",78640,0,"China","Chongqing",NULL
"E02193","Sofia Zhang","Analyst","Finance","Specialty Products","Female","Asian",51,"2005-01-11",55368,0,"United States","Chicago",NULL
"E02194","Athena Daniels","Network Administrator","It","Specialty Products","Female","Caucasian",49,"2021-05-23",78164,0,"United States","Seattle",NULL
"E02195","Jameson Shin","Sr. Analyst","Marketing","Research & Development","Male","Asian",30,"2020-05-14",76014,0,"China","Chengdu",NULL
"E02196","Everly Avila","Account Representative","Sales","Manufacturing","Female","Latino",41,"2015-11-13",61403,0,"United States","Miami",NULL
"E02197","Liam Nelson","Technical Architect","It","Research & Development","Male","Black",58,"2010-12-17",80720,0,"United States","Columbus",NULL
"E02198","Theodore Lai","System Administrator ","It","Specialty Products","Male","Asian",55,"2008-12-27",94026,0,"China","Shanghai",NULL
"E02199","Caroline Do","Analyst","Marketing","Research & Development","Female","Asian",40,"2016-03-06",56963,0,"United States","Chicago",NULL
"E02200","Josiah Ramos","Manager","Finance","Specialty Products","Male","Latino",41,"2014-01-08",113246,6,"United States","Chicago",NULL
"E02201","Colton Alexander","Field Engineer","Engineering","Research & Development","Male","Caucasian",45,"2005-08-09",76416,0,"United States","Phoenix",NULL
"E02202","Charles Ramos","Sr. Analyst","Accounting","Corporate","Male","Latino",57,"2010-04-04",74597,0,"United States","Austin","2016-01-30"
"E02203","Ellie Wilson","Director","It","Manufacturing","Female","Caucasian",65,"1996-08-31",164102,30,"United States","Columbus",NULL
"E02204","Peyton Powell","System Administrator ","It","Research & Development","Female","Caucasian",44,"2003-02-16",74431,0,"United States","Phoenix",NULL
"E02205","Hailey Rojas","Analyst","Finance","Specialty Products","Female","Latino",52,"2014-07-15",43378,0,"United States","Miami",NULL
"E02206","Kai Singh","Analyst","Finance","Corporate","Male","Asian",52,"2001-04-19",47587,0,"United States","Chicago",NULL
"E02207","Ryan Rivera","Director","Human Resources","Specialty Products","Male","Latino",53,"2001-11-29",179983,16,"United States","Phoenix",NULL
"E02208","Everett Lu","Manager","Marketing","Research & Development","Male","Asian",31,"2021-11-28",115565,6,"United States","Phoenix",NULL
"E02209","Layla Nunez","Manager","Finance","Manufacturing","Female","Latino",63,"2017-09-10",126064,5,"United States","Miami",NULL
"E02210","Liliana Collins","Sr. Manager","Human Resources","Specialty Products","Female","Black",39,"2013-01-18",151666,13,"United States","Chicago","2018-06-30"
